index,st,et
1,0,57
1,57,62
1,62,77
1,77,91
1,91,116
1,116,145
1,145,157
1,157,177
1,177,187
1,187,214
1,214,223
1,223,230
1,230,270
1,270,284
1,284,295
1,295,307
1,307,321
1,321,333
1,333,342
1,342,369
1,369,375
1,375,395
1,395,416
1,416,421
1,421,439
1,439,446
1,446,459
1,459,470
1,470,478
1,478,497
1,497,513
1,513,526
1,526,541
1,541,559
1,559,578
1,578,585
1,585,604
1,604,626
1,626,636
1,636,661
1,661,667
1,667,672
1,672,689
1,689,708
1,708,720
2,0,720
2,15,47
2,47,68
2,68,84
2,84,101
2,101,123
2,123,132
2,132,160
2,160,168
2,168,182
2,182,201
2,201,233
2,233,241
2,241,254
2,254,278
2,278,295
2,295,329
2,329,342
2,342,357
2,357,378
2,378,430
2,430,447
2,447,459
2,459,477
2,477,487
2,487,490
2,490,505
2,505,510
2,510,535
2,535,575
2,575,585
2,585,610
2,610,632
2,632,666
2,666,679
2,679,679
2,679,689
2,689,709
2,709,717
2,717,719
3,0,29
3,29,56
3,56,66
3,66,80
3,80,87
3,87,113
3,113,132
3,132,135
3,135,162
3,162,184
3,184,187
3,187,213
3,213,241
3,241,263
3,263,268
3,268,284
3,284,293
3,293,306
3,306,323
3,323,333
3,333,337
3,337,345
3,345,353
3,353,361
3,361,371
3,371,413
3,413,443
3,443,444
3,444,453
3,453,469
3,469,477
3,477,488
3,488,504
3,504,524
3,524,535
3,535,553
3,553,610
3,610,626
3,626,631
3,631,655
3,655,678
3,678,701
3,701,703
3,703,719
4,0,22
4,22,39
4,39,70
4,70,101
4,101,109
4,109,127
4,127,136
4,136,142
4,142,149
4,149,160
4,160,195
4,195,218
4,218,237
4,237,243
4,243,248
4,248,270
4,270,283
4,283,314
4,314,322
4,322,364
4,364,381
4,381,393
4,393,401
4,401,425
4,425,440
4,440,441
4,441,446
4,446,459
4,459,483
4,483,485
4,485,492
4,492,514
4,514,531
4,531,537
4,537,545
4,545,585
4,585,586
4,586,609
4,609,641
4,641,652
4,652,663
4,663,671
4,671,692
4,692,708
4,708,716
